Protein Accession,Fusion Probability,Fused,Cluster Number
P30046,0.006,0,NA
Q9Y3Q3,0.004,0,NA
P16284,0,0,NA
Q5VWZ2,0.072,0,NA
Q9UQ80,0.182,0,NA
P30520,0,0,NA
O95149,0,0,NA
P36957,0,0,NA
P35232,0.158,0,NA
O60701,0.798,1,17
Q7L2J0,0,0,NA
Q96QR8,0,0,NA
Q00613,0,0,NA
Q01658,0,0,NA
O15511,0,0,NA
Q12907,0.062,0,NA
Q9Y3A5,0.458,0,NA
O43314,0,0,NA
O75063,0,0,NA
P61604,0.008,0,NA
Q9UBX3-2,0,0,NA
Q9NRF8,0.002,0,NA
Q96F86,0,0,NA
P62750,0.172,0,NA
P62820,0,0,NA
Q92625,0.002,0,NA
P60891,0.178,0,NA
Q9H0R4,0,0,NA
Q7L576,0,0,NA
Q9NUU6,0,0,NA
O75306,0.004,0,NA
O00151,0.422,0,NA
P08648,0.004,0,NA
P29144,0.766,1,20
Q99719,0.002,0,NA
Q9NR31,0,0,NA
Q15942,0.476,0,NA
Q92611,0,0,NA
Q6UXH1-5,0.006,0,NA
Q92889,0,0,NA
P63241-2,0.86,1,20
Q9NVS9,0,0,NA
Q04206,0,0,NA
O15145,0.002,0,NA
P31323,0,0,NA
Q99547,0,0,NA
Q9Y6A4,0.002,0,NA
Q9Y6M7-7,0,0,NA
P57737-3,0,0,NA
P40306,0.002,0,NA
Q8N6N3,0,0,NA
O00161,0.014,0,NA
Q9NYU2,0,0,NA
P14735,0.002,0,NA
P42766,0,0,NA
Q8N1S5-2,0,0,NA
P08559-4,0.014,0,NA
P55036,0.184,0,NA
Q96CN7,0.002,0,NA
Q9BUE0,0,0,NA
Q8N335,0,0,NA
P62191,0.218,0,NA
P21127,0,0,NA
P35237,0,0,NA
O95861,0.392,0,NA
P53611,0.334,0,NA
P30825,0.014,0,NA
P14550,0.058,0,NA
O15173-2,0.096,0,NA
P16219,0,0,NA
P30044-2,0,0,NA
Q9Y3D8,0,0,NA
Q9UHB4-2,0,0,NA
Q9UKT5,0,0,NA
P49207,0.236,0,NA
P26640,0.01,0,NA
P52907,0.538,1,42
P30419,0.592,1,17
Q9NWV4,0.416,0,NA
Q6GMV3,0,0,NA
P06744,0.996,1,17
Q6UWE0,0.122,0,NA
P61916,0,0,NA
Q96SL4,0.008,0,NA
Q16718,0.438,0,NA
Q96IU4,0,0,NA
P62879,0.006,0,NA
P26639,0.638,1,44
P30042,1,1,11
O43583,0,0,NA
Q15018,0.294,0,NA
Q99598,0.96,1,17
P55039,0.018,0,NA
Q14696,0.072,0,NA
P61758,0.9,1,42
P50750-2,0,0,NA
Q9NQP4,0.892,1,17
P56385,0.664,1,11
Q96FN4,0,0,NA
Q6P4E1-4,0.004,0,NA
Q16774-2,0,0,NA
Q96S52,0,0,NA
Q9Y5P6-2,0,0,NA
Q99614,0.02,0,NA
Q9Y266,0.782,1,42
Q96EP5,0.3,0,NA
Q9BUT1,0,0,NA
P14324,0.002,0,NA
Q8IUR0,0,0,NA
P52566,0.49,0,NA
P52594-4,0,0,NA
P45974,0.64,1,18
P19440,0,0,NA
Q8NFH4,0,0,NA
O43681,0.002,0,NA
Q9Y2G8,0.01,0,NA
P27105,0,0,NA
Q86U44,0.814,1,47
Q99471,0.978,1,18
Q9NQC3-2,0,0,NA
Q9NR45,0.002,0,NA
Q8IVD9,0,0,NA
Q00577,0.332,0,NA
Q9Y580,0.002,0,NA
Q9BZK7,0,0,NA
Q9Y4H4,0,0,NA
O14530,0,0,NA
Q99623,0,0,NA
P14406,0,0,NA
P55072,0.582,1,20
P29401-2,0.94,1,20
Q06830,0.022,0,NA
Q8WU90,0.028,0,NA
O95302-3,0.01,0,NA
O43813,0.036,0,NA
P60983,0.002,0,NA
O15127,0,0,NA
Q86VN1,0,0,NA
Q9BQA1,0,0,NA
P34932,0.864,1,20
Q9Y5X2,0.002,0,NA
Q08623-4,0.962,1,44
Q08209-2,0,0,NA
P14314,0,0,NA
Q7Z7C8-4,0,0,NA
Q9ULV3,0,0,NA
Q8WUW1-2,0,0,NA
Q8WVY7,0.044,0,NA
P00387-3,0.002,0,NA
Q96GX2,0.894,1,44
O43399-7,0.928,1,20
O43719,0,0,NA
Q9Y3D0,0,0,NA
O43765,0,0,NA
Q8NHP6,0,0,NA
Q01518-2,0,0,NA
P62714,0,0,NA
Q9UK59,0.004,0,NA
Q9H299,0,0,NA
P48147,0.458,0,NA
O14950,0.048,0,NA
P20701-2,0,0,NA
O60346,0,0,NA
P60510,0.026,0,NA
P49773,0,0,NA
Q16658,0,0,NA
P42345,0,0,NA
P62136,0,0,NA
P53041,0,0,NA
Q14320,0.09,0,NA
P06730-2,0,0,NA
P00167,0.004,0,NA
P36915,0,0,NA
P40429,0.902,1,20
P08621,0.232,0,NA
Q8TB36,0,0,NA
Q9UBK8,0.006,0,NA
O60613,0,0,NA
Q96SB4-3,0,0,NA
Q9NP97,0,0,NA
O94903,0.002,0,NA
Q9H2J4,0.878,1,44
O14744,0.004,0,NA
Q9H9Q2,0,0,NA
Q5R3I4,0,0,NA
P41250,0.876,1,42
O75832,0,0,NA
P13807,0,0,NA
Q8TDP1,0.008,0,NA
P20936,0,0,NA
Q9NPJ6,0,0,NA
P16333,0,0,NA
Q16543,0.894,1,18
Q05519,0,0,NA
P01111,0,0,NA
P49589-3,0,0,NA
P22314-2,0.852,1,18
Q9NWV8,0.076,0,NA
O75874,0.976,1,17
Q96B26,0,0,NA
Q92733,0,0,NA
Q9H6E4,0,0,NA
O15067,0.966,1,18
O75381,0,0,NA
O14773,0,0,NA
Q14240-2,0.988,1,44
Q9HBM1,0,0,NA
Q9UJ68,0,0,NA
P62306,0,0,NA
P35573,0.768,1,17
Q96Q11,0.49,0,NA
Q14118,0,0,NA
P28074,0,0,NA
P37837,0.93,1,20
Q9Y295,0.034,0,NA
Q96K17,0,0,NA
Q9P265,0.01,0,NA
P60900,0.456,0,NA
Q9UGM6,0,0,NA
Q9H5N1,0.704,1,48
Q03111,0,0,NA
Q9H8Y5,0,0,NA
P61981,0.028,0,NA
Q9BUR5,0,0,NA
P22061-2,0,0,NA
Q8IZP0,0.01,0,NA
Q96EK9,0,0,NA
O75368,0.838,1,44
Q9UHL4,0.01,0,NA
O00193,0.694,1,44
O95298,0.062,0,NA
Q5TAQ9,0,0,NA
P21912,0,0,NA
Q9UNF0,0.164,0,NA
Q16795,0,0,NA
Q16762,0.024,0,NA
Q14997,0.518,1,45
Q86WX3,0,0,NA
Q8NBX0,0.002,0,NA
P28066,0.978,1,45
Q96MX6,0,0,NA
Q9NVM6,0,0,NA
Q13564-4,0.944,1,42
Q9H2G2-2,0,0,NA
P31483,0,0,NA
O60568,0.068,0,NA
Q15291,0,0,NA
Q9NZ01,0,0,NA
O75688,0,0,NA
P36405,0,0,NA
Q6PIU2-2,0,0,NA
Q9NZL9,0.65,1,17
Q15020,0,0,NA
O75351,0.632,1,18
P78318,0,0,NA
P13796,0.54,1,42
P31948-2,0.986,1,17
P11169,0,0,NA
Q9UJX3,0,0,NA
Q7Z7K0,0,0,NA
Q9HCJ6,0,0,NA
Q5JTV8-3,0,0,NA
Q04917,0.004,0,NA
P51452,0.972,1,20
P62316,0,0,NA
Q92734,0.024,0,NA
Q9BY43-2,0.004,0,NA
O95749,0,0,NA
P09488,0.16,0,NA
O14893,0,0,NA
P24666,0.02,0,NA
P16278-3,0,0,NA
Q9BXV9,0,0,NA
O75340,0,0,NA
Q9BY32,0,0,NA
Q5M775,0,0,NA
Q92466,0,0,NA
O43447,0.004,0,NA
Q9BUT9,0,0,NA
P47813,0,0,NA
Q7Z7A4,0,0,NA
Q99729-3,0.974,1,11
Q92747,0,0,NA
O95999,0.004,0,NA
Q9UJ83,0.432,0,NA
P21291,0.976,1,47
Q8NHP8,0.322,0,NA
P04792,0.86,1,14
P14927,0.168,0,NA
Q92508,0,0,NA
Q86X76,0,0,NA
Q9NNW5,0,0,NA
P11171,0.534,1,49
Q8WUY1,0.002,0,NA
P15151,0,0,NA
