Protein Accession,Fusion Probability,Fused,Cluster Number
Q9GZT9,0.946,1,14
O43678,0.004,0,NA
P00568,0.062,0,NA
P00374,0.298,0,NA
O75369-8,0.988,1,14
P49458,0.884,1,14
P20338,0,0,NA
Q96RF0,0,0,NA
Q9UBT2,0.014,0,NA
P07237,0.398,0,NA
Q9UPN4-2,0,0,NA
Q9UBE0,0.882,1,17
Q86Y22,0,0,NA
Q12834,0.994,1,10
Q15555,0,0,NA
P16455,0.002,0,NA
P40855,0.176,0,NA
P18206,0.958,1,17
Q8N954,0,0,NA
Q9Y230,0.892,1,14
P51858,0.88,1,17
P59998-3,0.9,1,17
Q9NQR4,0.958,1,18
O95490-6,0.89,1,9
P50502,0.976,1,17
P48595,0.564,1,17
P33241-3,0.962,1,14
Q16850,0,0,NA
Q16204,0,0,NA
Q14814-4,0.972,1,14
P11233,0,0,NA
O60869,0.976,1,18
O95067,0.934,1,9
Q15369,0.988,1,14
P00558,0.986,1,18
Q96CS2,0.676,1,14
O75717,0.902,1,14
Q7LBR1,0.998,1,14
Q9UHF1,0.018,0,NA
Q9UGN4,0,0,NA
Q9BQS8-4,0.672,1,17
P09972,0.956,1,14
Q14847,0.416,0,NA
Q00722,0.336,0,NA
P26447,0.996,1,14
P49321-3,0.132,0,NA
P23921,0.96,1,17
O43633,0,0,NA
Q5T013,0.098,0,NA
Q9UQL6-3,0.228,0,NA
P06753,0.008,0,NA
P00488,0.006,0,NA
P06733,0.992,1,17
O94888,0,0,NA
Q04760,0.938,1,18
Q9Y5J9,0.904,1,14
Q06481,0,0,NA
Q9P016,0.986,1,14
P34949,0.54,1,18
Q9BXS6,1,1,9
P55854-2,0.024,0,NA
Q9Y237-2,0,0,NA
P61586,0.988,1,14
O95864,0.128,0,NA
Q9BRP8,0.416,0,NA
P08243,0.182,0,NA
O43598,0,0,NA
Q02809-2,0.974,1,14
O15400,0.83,1,14
P18669,0.99,1,18
Q99795,0,0,NA
P25205-2,0.886,1,14
P08962,0.82,1,3
O75781,0.05,0,NA
Q9NSC5,0.086,0,NA
P09960,0.894,1,17
Q9Y5L4,0.006,0,NA
O95336,0.986,1,18
Q96C86,0.308,0,NA
P20138,0,0,NA
P50452,0.914,1,17
Q16610-4,0.242,0,NA
Q15019-2,0.972,1,18
B7ZBB8,0.274,0,NA
P28289,0.978,1,14
Q9UNP9,0.002,0,NA
Q07960,0.3,0,NA
P16104,0.846,1,14
P20962,0.644,1,18
Q13813,0.996,1,14
O60493,0.812,1,18
P04424,0.606,1,17
O75976,0.044,0,NA
Q96BZ4,0.996,1,9
Q8NCC3,0.51,1,14
Q02790,0.918,1,17
P06737,0.982,1,17
Q01196-8,0.724,1,15
P83916,0,0,NA
P35475-2,0,0,NA
P29762,0.978,1,14
Q9UK76,0.958,1,14
Q15059,0.998,1,14
Q15056-2,0.232,0,NA
O14618,0.676,1,17
P06396-2,0.964,1,17
P49588,0.944,1,17
Q9HB71,0.992,1,17
P15121,0.924,1,17
P10586,0.968,1,14
Q6JBY9,0.692,1,18
P82979,0.264,0,NA
P48637,0,0,NA
Q5TBB1,0.976,1,14
Q16181,0.936,1,18
P34913,0,0,NA
Q9UHD8,0.628,1,18
Q9Y5Z4,0.71,1,17
Q9BVW5,0,0,NA
P57076,0.404,0,NA
Q9BX68,0.648,1,11
Q8N806,0.746,1,17
Q2TAA2,0.252,0,NA
Q14257-2,0,0,NA
Q9NR33,0.98,1,14
